,media,mediana,inter_linear,inter_cubic,inter_slinear,inter_akima,inter_poly5,inter_spline5,knn,media_movel_3,real,pix
0,,,,,,,,,,,63.19385222346233,75.65233933426788
1,,,,,,,,,,,42.69854817300861,72.85406689273313
2,,,,,,,,,,,69.17164938557785,69.36668565800616
3,,,,,,,,,,,42.69854819527763,59.853790688983096
4,,,,,,,,,,,70.87958958493037,56.414894422438415
5,,,,,,,,,,,41.84457723029044,44.73063963076485
6,,,,,,,,,,,59.777967040096996,49.98553539829108
7,,,,,,,,,,,46.11443226201017,51.85468083869481
8,,,,,,,,,,,53.800171265023955,67.96577850231049
9,,,,,,,,,,,49.53031612195899,67.94356867149264
10,,,,,,,,,,,51.238257899231414,66.02823660477509
11,,,,,,,,,,,54.65414217911051,49.763023808764004
12,,,,,,,,,,,48.67634459706473,40.63483012679498
13,,,,,,,,,,,54.65414236998789,43.89990816556119
14,,,,,,,,,,,46.11443236381141,42.32309439261688
15,,,,,,,,,,,57.216054157860604,48.9038657826506
16,,,,,,,,,,,45.260461405186916,49.662806150955994
17,,,,,,,,,,,59.77796673469325,52.707661175503965
18,,,,,,,,,,,40.13663531940379,54.01700946329803
19,,,,,,,,,,,64.90179333902631,55.03040811732537
20,,,,,,,,,,,82.8351838582605,58.39267698849106
21,,,,,,,,,,,65.75576420221236,58.21031090237963
22,,,,,,,,,,,113.57813997211696,54.55436532717299
23,,,,,,,,,,,118.701964133219,62.81431387063289
24,,,,,,,,,,,116.99402057442488,52.295262542776705
25,,,,,,,,,,,123.825789923143,43.647790850990376
26,,,,,,,,,,,122.97181972166497,52.16517718707678
27,,,,,,,,,,,122.117847993168,58.71627129213525
28,,,,,,,,,,,128.949615713066,55.97444475460624
29,,,,,,,,,,,128.949615713066,67.59977694457646
30,,,,,,,,,,,128.949615713066,70.13817053895829
31,,,,,,,,,,,123.82578870152716,66.02207683885752
32,,,,,,,,,,,127.24167378309099,61.69195810410828
33,,,,,,,,,,,128.095644748079,54.45777397701418
